SDR	7.7.6
03/08/2008 02:40:00	3.3	0.2	3.8	3.0	4.0	0.3	4.7	3.6	3.5	0.3	4.2	3.0	3.8	0.3	4.6	3.0									46	5	52	260	27	3	21	350					-4.7	0.0	-4.7	-4.7								
03/08/2008 02:50:00	3.5	0.2	4.2	3.0	4.4	0.2	5.3	3.9	3.9	0.3	4.6	3.4	4.2	0.3	4.9	3.4									35	5	29	260	22	4	16	350					-4.9	0.0	-4.7	-4.9								
03/08/2008 03:00:00	3.4	0.3	3.8	2.6	3.9	0.3	4.4	3.0	3.4	0.3	3.8	2.6	3.3	0.4	4.2	2.6									42	6	31	260	26	4	16	350					-4.9	0.0	-4.7	-4.9								
03/08/2008 03:10:00	2.7	0.2	3.0	2.3	3.0	0.2	3.6	2.7	2.8	0.2	3.0	2.3	2.5	0.2	3.0	1.9									70	8	56	260	52	9	31	350					-4.9	0.0	-4.7	-4.9								
03/08/2008 03:20:00	2.3	0.2	2.6	1.9	2.6	0.2	3.0	2.1	2.4	0.2	3.0	1.9	2.0	0.2	2.6	1.5									79	3	73	260	60	0	57	350					-4.4	0.0	-4.2	-4.7								
03/08/2008 03:30:00	2.3	0.2	2.6	1.9	2.4	0.1	2.7	1.9	2.3	0.2	2.6	1.9	1.7	0.2	2.3	1.1									94	5	100	260	75	7	76	350					-4.2	0.0	-4.0	-4.5								
03/08/2008 03:40:00	2.1	0.2	2.6	1.5	1.8	0.2	2.4	1.3	2.1	0.2	2.6	1.5	1.7	0.3	2.6	1.1									111	8	92	260	80	4	77	350					-4.4	0.0	-4.0	-4.5								
03/08/2008 03:50:00	2.9	0.3	3.8	1.9	2.8	0.5	3.9	1.9	3.0	0.3	3.8	2.3	2.9	0.4	3.8	2.3									109	5	104	260	97	5	92	350					-4.5	0.0	-4.5	-4.7								
03/08/2008 04:00:00	3.5	0.3	4.2	3.0	3.3	0.3	3.9	2.4	3.2	0.3	3.8	2.6	2.6	0.2	3.0	1.9									85	10	76	260	89	8	75	350					-4.7	0.0	-4.5	-4.7								
03/08/2008 04:10:00	4.1	0.2	4.6	3.8	4.2	0.1	4.4	3.9	3.9	0.2	4.2	3.4	3.3	0.2	3.8	2.6									69	3	65	260	66	2	65	350					-4.7	0.0	-4.5	-4.9								
03/08/2008 04:20:00	3.9	0.2	4.6	3.0	3.8	0.3	4.4	3.3	3.6	0.3	4.2	3.0	3.0	0.3	3.8	2.3									81	3	82	260	78	6	80	350					-4.7	0.1	-4.5	-4.9								
