SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-023

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	4
Description	Custom
Details	
Serial Number	SN:
Height	m
Scale Factor	0.021
Offset	0
Units	volts

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	4
Description	RH-5 Humidity %RH
Details	
Serial Number	.adg
Height	1    m
Scale Factor	0.098
Offset	0
Units	%RH

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
01/22/2009 00:00:00	11.2	1.1	14.9	8.0	11.2	1.0	13.9	8.2	10.6	1.1	13.3	7.6	10.1	1.1	13.3	7.2									76	6	67	260	69	7	73	350	13.3	0.0	13.3	13.3	-10.3	0.0	-10.2	-10.4					89.7	0.0	89.8	89.6
01/22/2009 00:10:00	10.8	1.0	13.3	8.4	10.8	0.9	13.0	8.4	10.2	1.0	13.0	7.6	9.9	1.0	12.6	7.2									74	5	79	260	67	6	62	350	13.3	0.0	13.3	13.3	-10.4	0.0	-10.2	-10.4					89.7	0.0	90.1	89.6
01/22/2009 00:20:00	10.0	1.2	14.5	7.6	10.0	1.1	14.7	7.3	9.4	1.1	13.7	6.8	9.0	1.1	13.3	6.5									75	7	78	260	68	7	58	350	13.3	0.0	13.3	13.3	-10.4	0.0	-10.2	-10.4					89.9	0.0	90.1	89.6
01/22/2009 00:30:00	10.2	1.1	13.3	7.6	10.4	1.0	13.6	8.2	9.8	1.1	13.3	7.2	9.4	1.1	12.2	6.8									74	7	79	260	67	7	69	350	13.3	0.0	13.3	13.3	-10.4	0.0	-10.2	-10.4					90.0	0.0	90.3	89.8
01/22/2009 00:40:00	10.6	1.0	13.0	8.0	10.8	0.9	13.0	7.9	10.1	1.0	12.6	7.6	9.9	0.9	12.2	7.2									72	5	70	260	65	6	72	350	13.3	0.0	13.3	13.3	-10.4	0.0	-10.2	-10.4					90.0	0.0	90.3	89.8
01/22/2009 00:50:00	10.8	1.0	14.1	8.4	11.0	1.0	13.3	8.7	10.4	1.0	13.0	7.6	10.1	1.0	13.0	7.2									69	6	67	260	62	6	61	350	13.3	0.0	13.3	13.3	-10.4	0.0	-10.2	-10.4					90.0	0.0	90.1	89.6
01/22/2009 01:00:00	10.7	0.9	13.3	8.4	10.9	0.9	13.3	8.4	10.2	1.0	13.0	7.6	10.0	1.0	13.3	7.6									68	6	73	260	62	7	65	350	13.3	0.0	13.3	13.3	-10.4	0.0	-10.2	-10.4					90.0	0.0	90.1	89.6
01/22/2009 01:10:00	11.4	1.0	14.9	9.1	11.6	0.9	15.3	9.3	11.0	1.0	14.5	8.8	10.6	1.0	14.1	8.0									70	5	75	260	63	6	74	350	13.3	0.0	13.3	13.3	-10.4	0.0	-10.4	-10.4					89.9	0.0	90.1	89.6
01/22/2009 01:20:00	11.9	1.0	14.5	9.1	12.0	0.9	14.4	9.9	11.5	1.0	14.5	9.1	11.0	1.0	13.7	8.0									72	5	68	260	66	5	62	350	13.3	0.0	13.3	13.3	-10.5	0.0	-10.4	-10.7					89.9	0.0	90.1	89.6
01/22/2009 01:30:00	12.6	0.9	14.5	9.5	12.6	0.8	15.0	10.4	12.1	0.9	14.5	9.1	11.6	1.0	14.5	8.8									77	4	78	260	70	4	75	350	13.3	0.0	13.3	13.3	-10.5	0.0	-10.4	-10.7					89.9	0.0	90.1	89.6
01/22/2009 01:40:00	13.5	0.8	15.6	10.7	13.4	0.7	15.0	11.3	13.0	0.7	14.9	10.7	12.3	0.9	14.5	9.1									81	4	77	260	75	5	74	350	13.3	0.0	13.3	13.3	-10.5	0.0	-10.4	-10.7					89.9	0.0	90.1	89.6
