SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
05/15/2008 00:00:00	14.3	0.6	15.6	11.8	13.8	0.6	15.3	12.2	13.4	0.7	15.3	11.5	12.8	0.8	14.5	10.3									342	3	341	260	340	3	343	350					0.8	0.0	1.0	0.6								
05/15/2008 00:10:00	13.8	0.5	14.9	12.2	13.3	0.5	14.7	11.6	12.8	0.6	14.1	11.1	12.1	0.8	13.7	9.9									345	2	343	260	343	2	348	350					0.7	0.0	1.0	0.6								
05/15/2008 00:20:00	14.0	0.5	15.6	11.8	13.6	0.6	15.0	11.6	13.0	0.6	14.5	11.1	12.3	0.8	14.1	9.5									344	2	344	260	341	3	345	350					0.7	0.0	1.0	0.6								
05/15/2008 00:30:00	13.8	0.6	15.3	12.2	13.2	0.7	14.7	11.0	12.7	0.7	14.5	10.3	12.1	0.9	14.1	9.5									344	2	340	260	341	3	348	350					0.7	0.0	1.0	0.6								
05/15/2008 00:40:00	13.4	0.5	14.5	11.5	13.0	0.5	14.4	11.6	12.5	0.6	14.1	10.3	11.9	0.7	13.7	9.5									344	2	344	260	341	3	347	350					0.5	0.0	0.6	0.6								
05/15/2008 00:50:00	12.8	0.6	14.1	11.1	12.5	0.7	14.4	11.0	12.0	0.6	13.7	10.7	11.4	0.8	13.3	9.1									343	3	338	260	340	3	345	350					0.5	0.0	0.6	0.6								
05/15/2008 01:00:00	12.2	0.5	13.3	10.3	12.0	0.6	13.6	10.2	11.5	0.6	13.3	9.5	10.9	0.7	12.6	9.1									343	3	339	260	340	3	344	350					0.6	0.0	0.8	0.6								
05/15/2008 01:10:00	13.0	0.6	14.5	10.7	12.7	0.7	13.9	10.4	12.1	0.7	13.3	9.9	11.5	0.8	13.3	9.5									344	2	344	260	342	2	346	350					0.6	0.0	0.8	0.6								
05/15/2008 01:20:00	13.6	0.5	14.5	12.2	13.1	0.5	14.4	11.0	12.5	0.6	14.5	10.3	11.9	0.8	13.7	9.9									343	2	343	260	341	2	345	350					0.7	0.0	0.8	0.6								
05/15/2008 01:30:00	12.5	0.9	13.7	8.8	11.9	0.9	13.3	8.7	11.4	1.0	13.3	8.4	10.7	1.0	13.3	7.6									346	3	344	260	343	3	346	350					0.6	0.0	0.8	0.6								
05/15/2008 01:40:00	10.8	1.0	13.0	8.0	10.5	0.9	12.4	8.4	10.1	1.0	11.8	7.2	9.1	1.0	11.5	6.5									348	4	342	260	345	4	345	350					0.5	0.0	0.8	0.6								
05/15/2008 01:50:00	9.2	0.9	11.1	6.8	9.1	0.8	11.0	6.7	8.5	0.8	10.7	6.1	7.6	0.9	9.9	5.3									350	6	341	260	345	7	349	350					0.5	0.0	0.6	0.6								
05/15/2008 02:00:00	11.2	1.0	13.0	8.0	10.8	1.0	12.7	7.6	10.1	1.1	12.2	7.2	9.4	1.1	11.8	6.1									344	4	339	260	342	4	340	350					0.5	0.0	0.6	0.6								
05/15/2008 02:10:00	11.5	0.7	13.0	8.8	11.1	0.7	13.3	9.0	10.4	0.8	12.6	8.0	9.8	0.8	11.8	7.2									344	4	340	260	341	4	341	350					0.6	0.0	0.8	0.6								
05/15/2008 02:20:00	12.4	0.6	14.1	9.9	12.0	0.7	13.9	9.9	11.4	0.9	13.7	8.8	10.7	1.0	13.0	7.6									341	3	342	260	338	3	347	350					0.6	0.0	0.8	0.6								
