SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
05/16/2008 00:00:00	4.3	0.4	5.3	3.4	4.3	0.7	5.3	2.7	4.3	0.5	5.3	3.0	4.3	0.5	5.3	3.0									113	7	105	260	100	5	100	350					5.1	0.2	5.6	4.9								
05/16/2008 00:10:00	4.3	0.4	5.3	3.4	3.8	0.4	4.7	3.0	3.9	0.3	4.6	3.0	4.1	0.4	4.9	3.0									126	10	140	260	112	9	90	350					4.7	0.0	4.9	4.7								
05/16/2008 00:20:00	4.4	0.3	5.3	3.4	4.1	0.3	4.7	3.0	3.8	0.3	4.6	2.6	3.7	0.3	4.2	2.6									141	7	141	260	128	6	119	350					4.7	0.0	4.9	4.4								
05/16/2008 00:30:00	4.3	0.2	4.9	3.4	4.2	0.3	4.7	3.6	3.7	0.3	4.2	3.0	3.6	0.2	4.2	3.0									155	6	160	260	141	7	148	350					4.3	0.1	4.7	4.2								
05/16/2008 00:40:00	4.6	0.2	4.9	4.2	4.6	0.3	5.0	3.6	4.0	0.3	4.6	3.0	3.8	0.3	4.2	2.6									164	1	163	260	156	3	155	350					4.0	0.0	4.2	3.7								
05/16/2008 00:50:00	4.7	0.3	5.3	3.8	4.7	0.3	5.6	4.1	4.1	0.3	4.9	3.4	3.8	0.3	4.6	3.4									169	2	171	260	162	3	164	350					3.9	0.0	4.2	3.7								
05/16/2008 01:00:00	4.6	0.4	5.7	3.4	4.8	0.3	5.6	3.9	4.1	0.3	4.9	3.0	3.9	0.3	4.6	3.0									170	2	168	260	164	2	163	350					4.0	0.0	4.4	3.7								
05/16/2008 01:10:00	4.1	0.2	4.6	3.8	4.3	0.2	4.7	3.9	3.6	0.2	4.2	3.0	3.6	0.2	4.2	3.0									166	3	173	260	158	4	164	350					3.4	0.5	4.4	2.7								
05/16/2008 01:20:00	4.6	0.2	5.3	4.2	4.7	0.2	5.0	4.4	4.0	0.2	4.6	3.4	3.9	0.2	4.2	3.4									173	2	176	260	163	2	163	350					2.1	0.1	2.7	1.7								
05/16/2008 01:30:00	4.8	0.2	5.3	4.6	5.0	0.2	5.3	4.7	4.3	0.2	4.6	3.8	4.1	0.2	4.6	3.8									180	1	182	260	172	0	171	350					2.0	0.4	2.7	1.5								
05/16/2008 01:40:00	4.6	0.2	5.3	4.2	4.9	0.2	5.3	4.4	4.3	0.2	4.9	3.8	4.1	0.2	4.6	3.4									183	2	182	260	175	3	172	350					2.6	0.0	2.7	2.5								
05/16/2008 01:50:00	3.6	0.6	4.9	2.3	4.8	0.2	5.3	4.1	3.7	0.4	4.6	2.6	3.8	0.2	4.6	3.4									192	4	190	260	181	4	185	350					2.6	0.0	2.9	2.5								
05/16/2008 02:00:00	3.9	0.4	4.6	3.0	4.6	0.2	5.0	4.4	3.9	0.2	4.2	3.0	3.6	0.2	3.8	3.4									189	2	189	260	178	2	173	350					2.6	0.0	2.9	2.2								
05/16/2008 02:10:00	4.0	0.3	4.6	3.0	4.5	0.1	4.7	4.1	3.8	0.2	4.2	3.4	3.7	0.2	4.2	3.4									187	3	188	260	176	3	178	350					2.0	0.2	2.5	1.5								
05/16/2008 02:20:00	4.2	0.5	4.9	2.6	4.5	0.3	5.0	3.6	3.8	0.3	4.6	3.0	3.6	0.3	4.2	3.0									183	9	192	260	173	8	180	350					1.2	0.4	1.7	0.6								
