SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
05/28/2008 00:00:00	3.6	0.5	4.9	2.3	4.1	0.4	5.3	3.3	3.5	0.5	4.9	2.3	3.2	0.5	4.6	2.3									246	13	256	260	240	10	245	350					1.9	0.0	2.2	2.0								
05/28/2008 00:10:00	3.3	0.6	4.9	1.9	3.8	0.5	5.0	2.7	3.2	0.6	4.6	1.9	2.9	0.7	4.6	1.1									265	9	258	260	256	7	253	350					1.9	0.0	2.0	2.0								
05/28/2008 00:20:00	3.5	0.4	4.2	2.6	4.0	0.3	4.7	3.3	3.4	0.4	4.2	2.3	3.1	0.4	4.2	1.9									264	7	262	260	255	3	258	350					1.8	0.0	2.0	1.7								
05/28/2008 00:30:00	3.5	0.4	4.2	2.6	3.9	0.3	4.7	3.3	3.3	0.4	4.2	2.6	3.1	0.4	4.2	2.3									268	7	264	260	260	6	258	350					1.7	0.0	2.0	1.5								
05/28/2008 00:40:00	3.3	0.3	4.2	2.6	3.7	0.2	4.4	3.0	3.1	0.3	3.8	2.3	2.8	0.4	3.8	1.9									276	6	273	260	272	4	276	350					1.7	0.0	2.0	1.5								
05/28/2008 00:50:00	3.0	0.4	3.8	1.9	3.5	0.4	4.4	2.7	2.9	0.4	3.8	1.9	2.6	0.4	3.8	1.9									278	6	268	260	273	4	266	350					1.6	0.0	1.7	1.5								
05/28/2008 01:00:00	3.3	0.3	4.2	2.6	3.7	0.3	4.4	3.0	3.1	0.3	3.8	2.3	2.9	0.4	3.8	1.9									283	3	281	260	279	3	280	350					1.6	0.0	1.7	1.5								
05/28/2008 01:10:00	3.3	0.3	4.2	2.6	3.8	0.2	4.1	3.3	3.2	0.3	4.2	2.6	3.0	0.3	3.8	2.3									283	4	280	260	278	2	283	350					1.6	0.0	1.7	1.5								
05/28/2008 01:20:00	3.5	0.3	4.2	3.0	3.9	0.3	4.4	3.3	3.4	0.4	4.2	2.6	3.1	0.4	3.8	2.3									290	4	283	260	285	5	279	350					1.4	0.0	1.5	1.3								
05/28/2008 01:30:00	2.8	0.2	3.4	2.3	3.3	0.2	3.9	3.0	2.7	0.2	3.4	2.3	2.4	0.2	3.0	1.9									293	4	298	260	291	2	295	350					1.2	0.0	1.5	1.0								
05/28/2008 01:40:00	2.6	0.2	3.0	1.9	3.2	0.2	3.6	2.7	2.6	0.2	3.0	2.3	2.4	0.2	2.6	1.9									284	3	282	260	281	3	285	350					1.1	0.0	1.3	1.0								
05/28/2008 01:50:00	2.1	0.3	3.0	1.5	2.7	0.2	3.3	2.4	2.0	0.3	2.6	1.5	1.8	0.3	2.3	1.1									279	5	277	260	276	1	276	350					1.0	0.0	1.3	1.0								
05/28/2008 02:00:00	1.7	0.3	2.3	1.1	2.5	0.2	2.7	2.1	1.7	0.2	2.3	1.1	1.4	0.2	1.9	0.7									270	4	260	260	269	1	274	350					1.2	0.0	1.3	1.0								
05/28/2008 02:10:00	1.2	0.2	1.9	0.7	2.2	0.2	2.4	1.9	1.4	0.2	1.9	0.7	1.0	0.2	1.5	0.4									273	3	269	260	269	0	270	350					1.2	0.0	1.3	1.0								
05/28/2008 02:20:00	0.5	0.3	1.5	0.4	1.6	0.3	2.1	1.3	0.7	0.3	1.5	0.4	0.5	0.2	1.1	0.4									269	4	275	260	270	0	271	350					1.3	0.0	1.3	1.3								
