SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
06/06/2008 00:00:00	8.4	0.4	9.5	7.2	8.3	0.4	9.3	7.0	7.8	0.5	9.1	6.5	7.5	0.4	8.8	6.1									325	3	322	260	323	3	330	350					6.3	0.0	6.4	6.1								
06/06/2008 00:10:00	8.8	0.5	9.9	7.2	8.6	0.4	9.9	7.6	7.9	0.5	9.5	6.5	7.8	0.5	9.5	6.5									323	3	323	260	320	3	328	350					6.3	0.0	6.4	6.1								
06/06/2008 00:20:00	8.7	0.5	9.9	7.6	8.8	0.5	9.9	7.6	8.0	0.5	9.1	6.5	8.1	0.6	9.5	6.5									321	3	323	260	318	3	321	350					6.3	0.0	6.4	6.1								
06/06/2008 00:30:00	8.9	0.6	10.7	7.2	8.9	0.5	10.4	7.6	8.2	0.6	9.9	6.5	8.3	0.6	9.5	6.8									325	4	326	260	322	4	334	350					6.2	0.0	6.4	6.1								
06/06/2008 00:40:00	8.5	0.4	9.5	7.2	8.6	0.4	9.6	7.3	7.8	0.5	9.1	6.5	7.8	0.5	9.1	6.1									322	4	325	260	319	4	328	350					6.1	0.0	6.1	5.9								
06/06/2008 00:50:00	9.1	0.4	9.9	8.0	9.1	0.4	10.2	7.9	8.4	0.5	9.1	6.8	8.3	0.6	9.5	6.8									320	3	320	260	318	4	317	350					6.0	0.0	6.1	5.9								
06/06/2008 01:00:00	9.3	0.5	10.3	7.2	9.3	0.5	10.4	7.6	8.6	0.6	9.9	6.8	8.3	0.6	9.9	6.1									318	4	313	260	315	5	320	350					5.9	0.0	5.9	5.9								
06/06/2008 01:10:00	8.6	0.6	10.3	6.8	8.4	0.5	9.9	7.3	7.7	0.7	9.5	6.1	7.4	0.7	9.1	5.3									325	5	317	260	323	5	321	350					5.7	0.0	5.9	5.6								
06/06/2008 01:20:00	7.6	0.8	9.5	5.7	7.5	0.7	9.3	5.9	6.7	0.8	8.8	5.3	6.3	0.8	8.4	4.6									329	7	334	260	325	7	335	350					5.4	0.0	5.6	5.1								
06/06/2008 01:30:00	6.3	0.6	7.6	4.6	6.3	0.5	7.3	4.7	5.8	0.5	7.2	4.2	5.3	0.5	6.5	3.8									324	5	327	260	322	6	330	350					5.1	0.0	5.4	4.9								
06/06/2008 01:40:00	7.4	0.7	8.8	5.7	7.3	0.6	9.0	5.9	7.0	0.7	8.4	5.3	6.6	0.7	8.4	4.9									320	4	318	260	316	4	323	350					4.9	0.0	5.1	4.9								
06/06/2008 01:50:00	8.2	0.5	9.5	6.5	8.2	0.5	10.2	6.7	7.8	0.6	9.1	6.1	7.5	0.6	9.1	5.7									318	4	311	260	316	4	313	350					4.8	0.0	4.9	4.9								
06/06/2008 02:00:00	8.1	0.5	9.5	6.5	8.2	0.5	9.3	6.7	7.3	0.6	8.8	5.7	7.5	0.6	9.1	6.1									319	4	310	260	316	4	314	350					4.8	0.0	5.1	4.9								
06/06/2008 02:10:00	8.5	0.5	9.9	6.8	8.6	0.5	10.4	7.3	7.8	0.6	9.9	6.1	8.0	0.6	9.5	6.5									320	4	315	260	318	4	317	350					4.8	0.0	4.9	4.9								
06/06/2008 02:20:00	8.4	0.5	9.5	6.8	8.4	0.5	9.3	7.0	7.6	0.6	8.8	6.1	7.8	0.6	9.1	6.1									320	4	318	260	318	4	326	350					4.8	0.0	4.9	4.7								
