SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
11/06/2007 00:00:00	10.2	0.5	12.2	8.4	11.9	0.8	13.6	9.6	10.3	0.7	11.5	8.4	9.4	0.9	11.5	6.8									128	0	128	260	65	5	70	350					-4.4	0.0	-4.2	-4.5								
11/06/2007 00:10:00	9.2	0.7	11.1	7.2	10.9	0.9	13.3	8.4	9.4	0.8	11.1	6.8	8.6	0.8	10.7	6.1									128	0	128	260	64	6	63	350					-4.4	0.0	-4.2	-4.5								
11/06/2007 00:20:00	8.5	0.9	10.3	5.7	9.9	1.2	13.0	7.0	8.5	1.0	11.1	6.1	7.7	1.1	10.7	5.3									128	0	128	260	74	9	70	350					-4.2	0.0	-4.0	-4.5								
11/06/2007 00:30:00	8.4	0.8	10.3	5.7	10.0	1.0	12.2	7.3	8.5	0.9	10.7	6.1	7.8	1.0	10.3	4.6									128	0	128	260	72	8	67	350					-4.1	0.0	-4.0	-4.0								
11/06/2007 00:40:00	8.1	0.9	10.3	5.7	9.5	1.1	11.9	7.0	8.2	1.0	10.3	5.3	7.4	1.1	10.7	3.8									128	0	128	260	72	9	65	350					-4.0	0.0	-3.8	-4.0								
11/06/2007 00:50:00	8.6	1.1	11.8	5.7	9.4	1.3	13.3	5.6	8.2	1.2	11.8	4.9	7.0	1.3	11.5	3.4									128	0	128	260	80	13	98	350					-3.9	0.0	-3.8	-4.0								
11/06/2007 01:00:00	10.0	0.8	12.2	8.0	11.0	1.1	14.4	7.9	9.7	1.0	12.2	6.8	8.2	1.3	11.8	4.6									128	0	128	260	81	10	91	350					-3.9	0.0	-3.8	-3.8								
11/06/2007 01:10:00	10.5	1.1	12.6	8.0	11.6	1.5	14.4	7.3	10.2	1.3	13.0	5.7	8.5	1.5	11.8	4.6									128	0	128	260	81	12	81	350					-3.9	0.0	-3.6	-3.8								
11/06/2007 01:20:00	10.0	1.0	12.6	7.6	11.6	1.2	14.7	8.4	10.0	1.1	12.6	7.2	8.7	1.2	11.8	5.7									128	0	128	260	78	8	77	350					-3.7	0.0	-3.6	-3.8								
11/06/2007 01:30:00	9.8	0.9	11.8	7.2	11.2	1.1	13.6	7.9	9.7	1.0	11.5	6.8	8.4	1.2	11.1	5.3									127	0	128	260	79	9	88	350					-3.7	0.0	-3.6	-3.8								
11/06/2007 01:40:00	9.5	1.0	11.5	6.8	10.5	1.4	13.6	7.3	9.1	1.2	11.8	5.3	7.9	1.4	11.5	4.2									127	0	128	260	81	11	84	350					-3.7	0.0	-3.6	-3.8								
11/06/2007 01:50:00	9.9	0.8	11.8	7.2	11.1	1.4	13.9	7.6	9.5	1.1	11.8	6.5	8.3	1.3	11.5	4.6									127	0	128	260	80	9	74	350					-3.6	0.0	-3.4	-3.6								
11/06/2007 02:00:00	9.3	0.8	11.1	7.2	10.7	1.2	13.6	7.3	9.2	1.0	11.5	6.5	8.0	1.1	10.7	4.9									127	0	128	260	81	9	85	350					-3.6	0.0	-3.4	-3.6								
11/06/2007 02:10:00	9.6	0.8	11.5	7.2	11.5	1.2	14.4	7.6	9.7	1.0	11.8	6.5	8.6	1.2	11.1	5.3									127	0	128	260	80	8	75	350					-3.5	0.0	-3.4	-3.6								
