SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
03/19/2008 00:00:00	12.4	1.4	14.9	8.4	12.6	1.1	14.7	9.3	11.7	1.1	14.1	8.4	10.7	1.0	13.7	8.0									356	6	358	260	355	5	352	350					-21.2	0.2	-20.8	-21.8								
03/19/2008 00:10:00	12.4	0.5	13.3	9.5	12.6	0.5	14.2	10.4	11.7	0.5	13.0	9.5	10.5	0.5	12.2	8.8									355	2	355	260	355	13	350	350					-22.0	0.2	-21.5	-22.2								
03/19/2008 00:20:00	11.4	0.7	13.0	8.4	11.5	0.8	13.0	8.7	10.6	0.8	12.2	8.0	9.6	0.7	11.8	7.6									354	3	353	260	354	12	346	350					-21.6	0.1	-21.3	-21.8								
03/19/2008 00:30:00	11.3	0.7	12.6	8.4	11.5	0.6	12.7	9.3	10.5	0.6	12.2	8.4	9.5	0.6	11.1	7.2									356	4	355	260	355	9	350	350					-21.7	0.1	-21.3	-21.8								
03/19/2008 00:40:00	11.7	0.6	13.0	9.5	11.8	0.7	13.3	9.6	10.9	0.7	12.6	8.4	9.9	0.7	11.5	8.0									353	4	349	260	355	8	349	350					-21.3	0.0	-21.0	-21.5								
03/19/2008 00:50:00	11.6	0.5	13.0	10.3	11.7	0.5	13.3	10.2	10.8	0.6	12.6	9.1	9.8	0.5	11.5	8.8									349	2	352	260	344	10	349	350					-21.5	0.2	-21.3	-21.8								
03/19/2008 01:00:00	10.6	0.6	11.8	8.8	10.6	0.6	11.9	9.0	9.7	0.6	11.1	7.6	8.6	0.6	10.3	6.8									350	2	348	260	345	9	349	350					-22.1	0.1	-21.7	-22.4								
03/19/2008 01:10:00	8.7	0.9	10.3	6.5	8.3	1.0	10.2	6.2	7.9	0.9	9.9	5.7	7.1	0.9	8.8	4.9									349	4	346	260	345	6	350	350					-22.3	0.0	-22.2	-22.5								
03/19/2008 01:20:00	8.7	0.5	9.9	6.8	8.1	0.5	9.3	6.7	7.9	0.6	9.5	6.1	6.9	0.7	8.4	4.9									352	3	350	260	346	10	349	350					-22.4	0.0	-22.2	-22.5								
03/19/2008 01:30:00	8.9	0.6	10.3	6.8	8.3	0.6	9.6	6.7	8.0	0.7	9.5	6.1	7.1	0.6	8.4	4.9									352	3	349	260	346	8	350	350					-22.4	0.0	-22.4	-22.5								
03/19/2008 01:40:00	9.5	0.3	10.3	8.8	9.2	0.5	10.4	7.9	8.3	0.5	9.5	7.2	7.9	0.5	9.5	6.5									351	2	352	260	346	10	349	350					-22.7	0.0	-22.5	-22.7								
03/19/2008 01:50:00	10.8	0.6	11.8	9.1	11.0	0.7	12.2	9.0	10.2	0.9	11.8	8.0	9.2	0.7	10.3	7.2									348	1	347	260	345	9	349	350					-22.6	0.0	-22.4	-22.7								
03/19/2008 02:00:00	11.3	0.3	11.8	10.3	11.4	0.4	12.2	10.2	10.8	0.5	11.8	9.5	9.6	0.5	10.7	8.4									351	1	348	260	346	1	349	350					-22.4	0.0	-22.4	-22.5								
03/19/2008 02:10:00	11.7	0.3	12.2	10.7	11.5	0.4	12.4	10.7	10.9	0.5	12.2	9.9	9.5	0.5	10.7	8.4									350	1	348	260	345	1	349	350					-22.7	0.1	-22.4	-22.9								
