SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
09/17/2008 00:00:00	1.3	0.3	1.9	0.7	2.1	0.2	2.7	1.6	0.7	0.4	1.9	0.4	1.5	0.3	2.3	0.7									61	5	63	260	37	3	36	350					8.0	0.0	8.2	7.7								
09/17/2008 00:10:00	1.4	0.3	1.9	0.7	2.3	0.2	3.0	1.9	1.1	0.3	1.9	0.4	1.6	0.4	2.6	1.1									39	10	51	260	38	4	24	350					8.1	0.0	8.2	7.9								
09/17/2008 00:20:00	2.1	0.3	2.6	1.5	2.7	0.2	3.3	2.1	1.7	0.3	2.3	1.1	1.9	0.3	2.6	1.1									28	4	27	260	27	0	24	350					7.6	0.0	7.9	7.4								
09/17/2008 00:30:00	2.0	0.2	2.3	1.5	2.7	0.2	3.0	2.1	1.7	0.2	2.3	1.1	1.8	0.2	2.3	1.5									20	5	29	260	22	4	24	350					7.3	0.0	7.7	7.2								
09/17/2008 00:40:00	2.0	0.2	2.3	1.5	2.8	0.1	3.0	2.4	1.8	0.2	2.3	1.5	2.0	0.2	2.6	1.5									22	3	17	260	19	0	16	350					7.3	0.0	7.4	7.2								
09/17/2008 00:50:00	2.1	0.2	2.3	1.9	2.8	0.1	3.0	2.4	1.9	0.2	2.3	1.5	2.1	0.2	2.6	1.9									23	5	16	260	19	0	15	350					7.5	0.0	7.7	7.4								
09/17/2008 01:00:00	1.9	0.2	2.3	1.5	2.7	0.1	3.0	2.4	1.7	0.2	2.3	1.5	2.1	0.2	2.3	1.5									37	2	30	260	19	0	16	350					7.7	0.0	7.9	7.7								
09/17/2008 01:10:00	1.2	0.3	1.9	0.7	2.3	0.2	2.7	1.9	1.1	0.3	1.9	0.4	1.7	0.2	2.3	1.1									40	1	36	260	19	0	16	350					7.7	0.0	7.9	7.7								
09/17/2008 01:20:00	1.5	0.3	2.3	0.7	2.2	0.2	2.4	1.9	1.0	0.3	1.5	0.4	1.4	0.2	1.9	1.1									37	2	38	260	19	0	16	350					7.3	0.2	7.7	7.2								
09/17/2008 01:30:00	1.8	0.2	2.3	1.1	2.6	0.2	3.0	2.1	1.5	0.3	2.3	1.1	1.9	0.2	2.3	1.5									38	2	38	260	19	0	16	350					6.9	0.0	7.2	6.9								
09/17/2008 01:40:00	2.3	0.2	3.0	1.5	3.2	0.4	3.9	2.7	2.3	0.4	3.0	1.5	2.6	0.4	3.4	1.9									30	2	26	260	19	0	16	350					6.7	0.0	6.9	6.4								
09/17/2008 01:50:00	3.3	0.3	3.8	2.3	4.0	0.2	4.4	3.6	3.2	0.2	3.8	2.6	3.2	0.2	3.8	2.6									31	2	30	260	20	1	16	350					6.6	0.0	6.9	6.4								
09/17/2008 02:00:00	3.2	0.2	3.4	2.6	3.9	0.2	4.1	3.6	3.1	0.2	3.4	2.6	3.2	0.2	3.4	2.6									36	2	32	260	25	1	19	350					6.9	0.0	7.2	6.9								
09/17/2008 02:10:00	3.2	0.2	3.4	3.0	3.9	0.1	4.4	3.6	3.1	0.2	3.4	2.6	3.4	0.2	4.2	3.0									41	2	37	260	30	1	28	350					7.0	0.0	7.4	7.2								
09/17/2008 02:20:00	3.3	0.2	3.8	3.0	3.8	0.2	4.4	3.6	3.0	0.2	3.4	2.6	3.4	0.3	4.2	2.6									44	1	43	260	35	2	28	350					7.3	0.0	7.4	7.2								
