SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
04/23/2008 00:00:00	4.5	0.6	6.1	2.6	4.9	0.5	6.2	3.6	4.3	0.6	5.7	2.6	4.0	0.5	5.7	2.6									186	6	187	260	179	6	180	350					2.0	0.0	2.2	2.0								
04/23/2008 00:10:00	3.6	0.6	5.7	2.3	5.3	0.5	6.2	3.9	3.9	0.5	5.3	2.6	3.6	0.5	4.9	2.3									196	5	193	260	190	5	184	350					1.9	0.0	2.2	2.0								
04/23/2008 00:20:00	4.1	0.5	5.3	2.6	6.2	0.3	6.7	5.3	4.8	0.5	5.7	3.4	3.9	0.5	5.3	2.6									201	2	206	260	195	3	191	350					2.0	0.0	2.2	2.0								
04/23/2008 00:30:00	5.3	0.5	6.1	3.4	5.8	0.4	6.7	4.4	5.3	0.5	6.1	3.8	4.6	0.5	5.7	3.4									209	4	207	260	203	4	200	350					2.0	0.0	2.2	2.0								
04/23/2008 00:40:00	6.1	0.2	6.5	5.3	6.3	0.3	6.7	5.6	5.9	0.3	6.5	4.9	5.5	0.3	6.1	4.6									219	3	220	260	214	3	211	350					2.0	0.0	2.2	2.0								
04/23/2008 00:50:00	5.7	0.3	6.1	5.3	6.0	0.3	6.7	5.3	5.6	0.3	6.1	4.9	5.3	0.3	6.1	4.2									225	2	226	260	220	2	219	350					1.9	0.0	2.2	2.0								
04/23/2008 01:00:00	5.6	0.3	6.5	5.3	5.7	0.2	6.4	5.0	5.4	0.2	6.1	4.6	5.0	0.3	5.7	4.2									230	2	230	260	225	1	222	350					1.7	0.0	2.0	1.5								
04/23/2008 01:10:00	5.7	0.4	6.8	4.6	5.8	0.4	6.7	5.0	5.5	0.4	6.8	4.6	5.2	0.5	6.5	4.2									232	4	238	260	227	4	219	350					1.7	0.0	2.0	1.5								
04/23/2008 01:20:00	5.2	0.4	6.1	4.2	5.3	0.4	6.2	4.4	5.0	0.4	6.1	3.8	4.7	0.4	5.7	3.8									241	7	234	260	234	6	226	350					1.6	0.0	2.0	1.5								
04/23/2008 01:30:00	4.7	0.3	5.3	3.4	4.7	0.4	5.3	3.6	4.4	0.4	5.3	3.0	4.1	0.4	4.9	3.0									248	3	247	260	243	2	247	350					1.6	0.0	1.5	1.5								
04/23/2008 01:40:00	4.0	0.3	4.6	3.0	4.2	0.3	5.0	3.6	3.8	0.3	4.6	3.0	3.6	0.3	4.6	3.0									242	5	249	260	239	3	240	350					1.3	0.1	1.5	1.3								
04/23/2008 01:50:00	3.8	0.2	4.2	3.0	3.9	0.2	4.4	3.3	3.5	0.2	4.2	3.0	3.1	0.3	3.8	2.6									228	5	235	260	228	5	221	350					1.2	0.0	1.3	1.0								
04/23/2008 02:00:00	4.0	0.2	4.6	3.4	4.3	0.2	4.7	3.9	3.8	0.2	4.2	3.4	3.6	0.2	4.2	3.0									213	3	216	260	211	3	213	350					1.2	0.0	1.5	1.0								
04/23/2008 02:10:00	3.5	0.4	4.2	2.3	4.0	0.4	4.7	2.7	3.4	0.5	4.2	2.3	3.1	0.4	3.8	1.9									209	3	210	260	204	2	203	350					1.4	0.0	1.5	1.3								
04/23/2008 02:20:00	2.4	0.5	3.8	1.1	3.5	0.2	3.9	3.0	2.6	0.4	3.4	1.9	2.3	0.5	3.4	1.1									197	7	192	260	189	10	201	350					1.4	0.0	1.5	1.3								
