SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
09/03/2008 00:00:00	6.0	0.3	6.8	5.3	6.0	0.3	6.7	5.6	5.4	0.3	6.1	4.6	5.0	0.3	5.7	4.6									45	3	37	260	35	2	32	350					7.8	0.0	8.2	7.7								
09/03/2008 00:10:00	6.7	0.3	7.6	6.1	6.7	0.3	7.6	6.2	6.1	0.3	7.2	5.3	5.7	0.3	6.5	4.6									52	3	51	260	42	3	40	350					8.7	0.4	9.5	7.9								
09/03/2008 00:20:00	6.6	0.2	7.2	6.1	6.8	0.2	7.3	6.4	6.1	0.2	6.8	5.7	5.9	0.3	6.5	5.3									55	2	58	260	43	2	38	350					9.5	0.0	9.7	9.2								
09/03/2008 00:30:00	6.3	0.3	6.8	5.7	6.5	0.4	7.0	5.6	5.8	0.4	6.5	4.6	5.5	0.4	6.5	4.6									51	2	51	260	40	2	38	350					9.6	0.0	9.7	9.5								
09/03/2008 00:40:00	5.9	0.3	6.8	4.9	5.9	0.3	6.4	5.0	5.2	0.3	6.1	4.2	5.0	0.3	5.7	3.8									52	4	52	260	39	4	36	350					9.7	0.0	10.0	9.5								
09/03/2008 00:50:00	5.3	0.3	6.1	4.6	5.5	0.3	6.2	5.0	4.7	0.4	5.7	3.8	4.6	0.3	5.3	4.2									49	5	56	260	36	4	35	350					9.7	0.0	10.0	9.5								
09/03/2008 01:00:00	5.1	0.2	5.7	4.6	5.4	0.2	5.9	5.0	4.7	0.2	5.3	4.2	4.6	0.2	4.9	4.2									47	4	42	260	35	3	29	350					8.9	0.2	9.5	8.7								
09/03/2008 01:10:00	5.3	0.3	6.1	4.6	5.5	0.2	5.9	4.7	4.8	0.2	5.3	4.2	4.6	0.2	4.9	3.8									57	4	58	260	43	3	36	350					9.1	0.1	9.5	8.7								
09/03/2008 01:20:00	4.7	0.3	5.3	3.8	5.0	0.3	5.6	4.1	4.2	0.4	4.9	3.4	4.3	0.3	4.9	3.8									61	4	60	260	46	3	44	350					9.7	0.0	9.7	9.5								
09/03/2008 01:30:00	3.5	0.4	4.6	2.6	3.9	0.4	4.7	3.3	3.1	0.4	3.8	2.3	3.6	0.3	4.2	3.0									69	2	70	260	52	2	48	350					9.9	0.1	10.2	9.5								
09/03/2008 01:40:00	2.7	0.4	3.4	1.9	3.2	0.5	3.9	2.1	2.3	0.5	3.4	1.1	3.1	0.4	3.8	2.3									60	3	61	260	43	2	44	350					10.1	0.0	10.2	10.0								
09/03/2008 01:50:00	2.2	0.3	3.0	1.5	3.1	0.5	4.7	2.4	2.1	0.6	3.8	1.1	3.1	0.6	4.6	1.9									47	12	17	260	27	13	13	350					10.0	0.2	10.5	9.5								
09/03/2008 02:00:00	1.7	0.3	2.6	1.1	3.0	0.3	3.9	2.4	1.8	0.5	3.0	1.1	3.5	0.4	4.6	2.6									53	7	42	260	17	1	16	350					9.1	0.1	9.7	8.7								
09/03/2008 02:10:00	2.2	0.7	4.6	1.1	3.4	0.7	5.0	2.4	2.4	0.8	4.2	1.1	3.6	0.6	4.9	2.3									38	5	26	260	20	0	16	350					8.7	0.0	8.9	8.7								
09/03/2008 02:20:00	5.1	0.4	6.1	4.2	5.6	0.3	6.2	4.7	4.9	0.4	5.7	3.8	4.8	0.3	5.3	3.8									27	3	24	260	19	2	15	350					8.6	0.0	8.9	8.4								
