SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
12/16/2007 00:00:00	12.0	0.5	13.0	11.1	11.0	0.4	12.2	10.2	10.7	0.4	12.2	9.5	8.4	0.6	9.9	7.2									346	2	342	260	338	2	341	350					-15.5	0.0	-15.2	-15.6								
12/16/2007 00:10:00	12.4	0.3	13.3	11.5	11.5	0.3	12.2	10.7	11.1	0.4	12.2	9.9	9.1	0.4	10.3	7.6									345	2	345	260	337	2	339	350					-15.0	0.1	-14.6	-15.2								
12/16/2007 00:20:00	12.4	0.3	13.0	11.5	11.9	0.3	12.4	11.0	11.3	0.3	11.8	10.3	8.5	0.4	9.9	7.6									348	1	347	260	340	1	346	350					-14.7	0.0	-14.6	-14.8								
12/16/2007 00:30:00	11.3	0.8	12.2	9.1	10.7	0.9	11.9	8.7	10.0	0.8	11.1	8.0	7.7	0.6	8.8	6.5									351	1	347	260	343	1	346	350					-14.9	0.2	-14.6	-15.4								
12/16/2007 00:40:00	11.2	0.8	12.2	8.8	10.8	0.7	11.9	9.0	10.0	0.6	11.1	8.4	7.8	0.5	8.8	6.5									351	2	349	260	343	1	346	350					-15.7	0.1	-15.2	-15.8								
12/16/2007 00:50:00	9.6	0.4	10.3	8.8	9.4	0.3	10.2	8.4	8.7	0.3	9.5	7.6	6.9	0.3	7.6	6.1									353	2	348	260	345	1	349	350					-16.0	0.1	-15.8	-16.4								
12/16/2007 01:00:00	9.5	0.3	10.7	8.8	9.5	0.5	10.4	8.2	8.8	0.4	9.5	7.6	7.0	0.5	8.0	5.7									356	2	353	260	346	8	349	350					-16.3	0.0	-16.0	-16.4								
12/16/2007 01:10:00	9.5	0.4	11.1	8.8	9.6	0.3	10.4	9.0	8.8	0.3	9.5	8.4	7.2	0.3	8.0	6.5									352	2	352	260	344	2	347	350					-16.2	0.0	-16.0	-16.4								
12/16/2007 01:20:00	10.6	0.6	11.5	8.8	10.2	0.5	11.3	8.7	9.5	0.5	10.7	8.0	7.6	0.5	9.1	6.5									344	2	342	260	337	1	339	350					-15.9	0.1	-15.6	-16.2								
12/16/2007 01:30:00	11.2	0.7	12.6	9.9	10.9	0.7	12.2	9.6	10.1	0.6	11.5	9.1	7.9	0.7	9.5	6.8									346	1	344	260	338	1	341	350					-15.7	0.0	-15.6	-15.8								
12/16/2007 01:40:00	12.3	0.4	13.3	11.5	11.9	0.4	13.0	11.0	11.0	0.4	12.2	10.3	9.2	0.4	10.3	8.0									346	1	346	260	337	1	341	350					-15.4	0.1	-15.2	-15.6								
12/16/2007 01:50:00	12.2	0.2	12.6	11.8	12.0	0.4	12.7	11.0	11.1	0.3	11.8	10.3	9.0	0.4	9.9	8.0									347	1	342	260	338	1	343	350					-15.4	0.0	-15.2	-15.6								
12/16/2007 02:00:00	12.5	0.2	13.0	12.2	12.5	0.2	13.0	12.2	11.3	0.3	11.8	10.7	9.7	0.4	10.3	8.4									345	1	344	260	336	1	338	350					-15.4	0.0	-15.2	-15.6								
12/16/2007 02:10:00	12.4	0.3	13.0	11.8	12.2	0.3	12.7	11.3	11.0	0.5	11.8	9.9	9.5	0.4	10.3	8.8									345	0	344	260	336	1	339	350					-15.2	0.0	-15.0	-15.2								
