SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
05/29/2008 00:00:00	5.4	0.6	6.5	3.0	5.6	0.6	7.0	3.9	5.1	0.7	6.5	3.0	4.7	0.6	6.1	3.0									19	5	17	260	12	5	8	350					3.2	0.0	3.4	3.2								
05/29/2008 00:10:00	5.5	0.5	6.5	4.2	5.7	0.5	7.0	4.4	5.2	0.5	6.5	3.8	4.9	0.5	6.1	3.4									19	4	12	260	10	5	358	350					3.1	0.0	3.2	2.9								
05/29/2008 00:20:00	5.1	0.3	6.1	4.6	5.6	0.3	6.4	4.7	5.1	0.3	5.7	4.2	4.7	0.3	5.7	3.8									22	2	19	260	12	2	9	350					2.9	0.0	3.2	2.7								
05/29/2008 00:30:00	5.2	0.3	5.7	4.6	5.5	0.3	6.2	4.7	5.0	0.3	5.7	4.2	4.5	0.4	5.3	3.4									22	2	19	260	13	3	11	350					2.7	0.0	2.9	2.7								
05/29/2008 00:40:00	5.0	0.3	5.7	4.2	5.9	0.3	6.4	4.7	5.3	0.4	6.1	3.8	4.9	0.4	5.7	3.8									23	2	22	260	15	2	14	350					2.6	0.0	2.7	2.5								
05/29/2008 00:50:00	4.3	0.4	5.3	3.4	5.3	0.6	6.2	4.1	4.6	0.6	5.7	3.4	4.6	0.3	5.3	3.8									28	4	22	260	16	1	10	350					2.6	0.0	2.7	2.5								
05/29/2008 01:00:00	4.2	0.3	4.9	3.4	4.4	0.2	5.0	3.9	3.8	0.2	4.6	3.4	3.9	0.3	4.6	3.4									30	2	31	260	18	2	16	350					2.5	0.0	2.5	2.5								
05/29/2008 01:10:00	3.9	0.2	4.6	3.0	4.7	0.3	5.3	3.9	4.1	0.4	4.9	3.0	4.3	0.3	4.9	3.8									17	5	24	260	7	2	4	350					2.4	0.0	2.5	2.5								
05/29/2008 01:20:00	4.1	0.3	5.3	3.4	5.1	0.4	5.9	4.1	4.5	0.4	5.3	3.4	4.6	0.3	5.3	3.8									14	2	12	260	6	1	2	350					2.4	0.0	2.5	2.5								
05/29/2008 01:30:00	4.5	0.4	5.3	3.8	5.7	0.2	6.2	5.0	5.0	0.3	5.7	4.2	4.8	0.4	5.7	3.8									15	2	15	260	7	2	4	350					2.4	0.0	2.5	2.5								
05/29/2008 01:40:00	4.3	0.3	4.9	3.4	5.3	0.2	5.9	4.7	4.7	0.3	5.3	4.2	4.5	0.4	5.7	3.4									14	2	12	260	7	1	2	350					2.3	0.0	2.5	2.2								
05/29/2008 01:50:00	4.3	0.3	4.9	3.8	5.4	0.3	5.9	4.7	4.8	0.3	5.3	4.2	4.6	0.3	5.3	3.8									17	2	13	260	9	1	5	350					2.2	0.0	2.5	2.2								
05/29/2008 02:00:00	4.6	0.3	5.3	3.8	5.9	0.3	6.4	5.0	5.2	0.3	5.7	4.2	5.2	0.3	5.7	4.2									16	1	16	260	8	1	4	350					2.2	0.0	2.2	2.2								
05/29/2008 02:10:00	4.8	0.3	5.3	4.2	5.7	0.3	6.4	5.0	5.1	0.3	5.7	4.2	5.0	0.3	5.7	4.2									22	2	16	260	11	2	5	350					2.0	0.0	2.2	2.0								
05/29/2008 02:20:00	4.6	0.2	5.3	3.8	5.4	0.2	5.9	4.7	4.8	0.2	5.3	4.2	4.6	0.2	5.3	3.8									22	2	21	260	11	2	4	350					2.0	0.0	2.2	2.0								
