SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
06/24/2008 00:00:00	1.4	0.4	2.3	0.4	1.0	0.0	1.0	1.0	1.9	0.3	2.6	1.1	1.4	0.4	2.3	0.7									231	6	229	260	200	9	350	350					10.2	0.0	10.2	10.2								
06/24/2008 00:10:00	1.7	0.3	2.3	1.1	1.0	0.0	1.0	1.0	2.1	0.3	2.6	1.5	1.8	0.3	2.3	1.1									237	6	241	260	221	0	350	350					10.1	0.0	10.2	10.0								
06/24/2008 00:20:00	1.8	0.4	2.6	1.1	1.0	0.0	1.0	1.0	2.2	0.3	3.0	1.5	1.8	0.3	2.6	1.1									230	3	234	260	221	0	350	350					10.1	0.0	10.2	10.0								
06/24/2008 00:30:00	1.6	0.2	2.3	1.1	1.0	0.0	1.0	1.0	2.0	0.2	2.6	1.5	1.4	0.3	2.3	0.7									234	4	231	260	221	0	350	350					10.1	0.0	10.2	10.0								
06/24/2008 00:40:00	1.3	0.2	1.9	0.7	1.0	0.0	1.0	1.0	1.8	0.2	2.3	1.5	1.2	0.3	1.9	0.4									229	5	240	260	221	0	350	350					10.1	0.0	10.2	10.0								
06/24/2008 00:50:00	1.1	0.3	1.9	0.4	1.0	0.0	1.0	1.0	1.6	0.3	2.3	0.7	0.8	0.3	1.5	0.4									217	13	230	260	221	0	350	350					10.0	0.0	10.2	10.0								
06/24/2008 01:00:00	0.5	0.2	1.1	0.4	1.0	0.0	1.0	1.0	1.1	0.3	1.5	0.4	0.5	0.2	1.1	0.4									190	4	194	260	220	0	350	350					10.0	0.0	10.2	10.0								
06/24/2008 01:10:00	0.4	0.1	1.1	0.4	1.0	0.0	1.0	1.0	0.7	0.3	1.5	0.4	0.4	0.1	1.1	0.4									189	4	180	260	220	0	350	350					10.0	0.0	10.2	10.0								
06/24/2008 01:20:00	0.4	0.2	1.5	0.4	1.0	0.0	1.0	1.0	1.0	0.3	1.5	0.4	0.4	0.2	1.1	0.4									151	15	184	260	211	13	350	350					10.1	0.0	10.2	10.0								
06/24/2008 01:30:00	0.6	0.4	2.3	0.4	1.0	0.0	1.0	1.0	1.2	0.4	2.3	0.4	0.7	0.4	1.9	0.4									126	11	120	260	145	39	350	350					10.2	0.0	10.2	10.0								
06/24/2008 01:40:00	0.9	0.5	2.3	0.4	1.0	0.0	1.0	1.0	1.7	0.3	2.6	1.1	1.1	0.5	1.9	0.4									102	9	95	260	93	11	350	350					10.1	0.0	10.2	10.0								
06/24/2008 01:50:00	1.2	0.4	2.3	0.4	1.0	0.0	1.0	1.0	1.8	0.3	2.6	1.1	1.4	0.4	2.3	0.4									105	10	90	260	80	0	350	350					10.0	0.0	10.2	10.0								
06/24/2008 02:00:00	1.4	0.6	2.3	0.4	1.0	0.0	1.0	1.0	1.9	0.4	2.6	0.7	1.2	0.5	2.3	0.4									111	10	100	260	81	1	350	350					10.0	0.0	10.2	10.0								
06/24/2008 02:10:00	1.5	0.2	2.3	1.1	1.0	0.0	1.0	1.0	2.1	0.2	2.6	1.5	1.8	0.3	2.3	0.7									113	5	109	260	89	0	350	350					10.0	0.0	10.2	10.0								
06/24/2008 02:20:00	1.9	0.3	2.6	1.1	1.0	0.0	1.0	1.0	2.1	0.3	2.6	0.7	1.4	0.5	2.3	0.4									104	3	104	260	88	1	350	350					9.9	0.0	10.0	10.0								
