SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
12/15/2007 00:00:00	7.6	0.5	8.8	5.7	5.9	0.4	6.7	4.7	7.3	0.5	8.4	5.7	6.2	0.5	7.6	4.6									301	3	295	260	292	3	291	350					-9.1	0.1	-8.8	-9.6								
12/15/2007 00:10:00	7.2	0.8	8.8	5.7	5.8	0.6	7.6	4.7	6.9	0.7	8.8	5.3	6.1	0.6	8.0	4.6									303	5	303	260	294	6	299	350					-8.9	0.0	-8.8	-9.0								
12/15/2007 00:20:00	6.8	0.9	9.1	4.9	5.7	0.7	7.6	4.4	6.6	0.8	8.4	4.6	5.8	0.7	8.0	4.2									304	6	303	260	295	7	307	350					-8.7	0.0	-8.6	-9.0								
12/15/2007 00:30:00	6.2	0.7	7.6	4.6	4.9	0.5	6.7	3.9	5.9	0.6	7.6	4.2	5.2	0.6	7.2	3.8									297	6	309	260	287	6	301	350					-8.8	0.2	-8.4	-9.2								
12/15/2007 00:40:00	7.1	0.7	8.8	5.3	5.8	0.5	7.3	4.4	6.8	0.7	8.4	4.9	6.0	0.6	8.4	4.6									298	5	293	260	289	6	293	350					-9.3	0.1	-8.8	-9.6								
12/15/2007 00:50:00	6.4	0.8	8.0	4.2	5.3	0.6	6.7	3.6	6.1	0.7	8.0	3.8	5.5	0.6	7.2	4.2									307	7	299	260	298	9	306	350					-9.2	0.0	-9.0	-9.2								
12/15/2007 01:00:00	6.7	0.6	8.4	5.3	5.7	0.5	7.0	4.4	6.2	0.6	8.0	4.9	5.5	0.6	6.8	4.2									316	5	313	260	310	5	311	350					-9.2	0.0	-9.0	-9.2								
12/15/2007 01:10:00	6.0	0.4	6.8	4.9	4.9	0.4	5.9	3.3	5.6	0.5	6.5	3.4	4.8	0.5	5.7	3.0									313	6	311	260	307	8	320	350					-9.2	0.0	-9.0	-9.2								
12/15/2007 01:20:00	6.0	0.9	8.0	4.2	5.1	0.7	6.7	3.6	5.8	0.7	7.2	4.2	5.2	0.7	6.8	3.4									308	5	309	260	301	6	310	350					-9.0	0.0	-8.8	-9.2								
12/15/2007 01:30:00	6.3	0.6	8.0	4.9	5.3	0.6	6.7	4.1	5.9	0.5	7.2	4.9	5.3	0.5	6.8	4.2									315	6	312	260	309	8	318	350					-9.5	0.0	-9.2	-9.6								
12/15/2007 01:40:00	6.8	0.6	8.0	5.3	5.9	0.4	6.7	4.7	6.4	0.5	7.6	4.9	5.7	0.5	6.8	4.2									320	5	316	260	316	5	317	350					-9.4	0.0	-9.2	-9.4								
12/15/2007 01:50:00	6.5	0.4	7.6	5.7	5.7	0.3	6.4	5.0	6.2	0.3	7.2	5.3	5.5	0.3	6.1	4.6									323	3	321	260	319	3	320	350					-9.3	0.0	-9.2	-9.2								
12/15/2007 02:00:00	6.6	0.3	7.2	5.7	5.8	0.3	6.4	5.0	6.1	0.3	6.8	5.3	5.4	0.3	6.1	4.6									329	2	324	260	323	2	322	350					-9.3	0.0	-9.2	-9.4								
12/15/2007 02:10:00	6.1	0.4	6.8	4.9	5.2	0.5	6.4	4.1	5.8	0.4	6.8	4.6	5.2	0.4	6.1	3.8									316	9	325	260	309	9	328	350					-9.3	0.0	-9.2	-9.4								
