SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	4
Description	RH-5 Humidity %RH
Details	
Serial Number	.adg
Height	1    m
Scale Factor	0.098
Offset	0
Units	%RH

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
12/25/2008 00:00:00	7.6	0.8	9.5	4.9	1.0	0.0	1.0	1.0	8.1	1.0	10.7	5.3	7.6	0.9	9.9	5.3									131	0	132	260	67	8	350	350					-7.4	0.0	-7.1	-7.5					0.0	0.0	0.0	0.0
12/25/2008 00:10:00	7.6	0.8	9.1	4.9	1.0	0.0	1.0	1.0	8.1	1.1	10.7	4.9	7.7	1.0	9.9	4.2									131	0	132	260	68	8	350	350					-7.5	0.0	-7.3	-7.5					0.0	0.0	0.0	0.0
12/25/2008 00:20:00	7.9	0.9	9.5	5.7	1.0	0.0	1.0	1.0	8.6	1.2	11.1	5.3	8.1	1.1	10.7	4.2									131	0	131	260	67	8	350	350					-7.4	0.0	-7.3	-7.5					0.0	0.0	0.0	0.0
12/25/2008 00:30:00	8.1	0.7	9.9	6.1	1.0	0.0	1.0	1.0	8.6	1.1	11.5	4.9	8.0	1.0	11.1	5.3									131	0	131	260	69	9	350	350					-7.5	0.0	-7.3	-7.5					0.0	0.0	0.0	0.0
12/25/2008 00:40:00	8.5	0.8	9.9	6.1	1.0	0.0	1.0	1.0	9.2	1.0	11.1	5.7	8.4	1.0	10.7	5.7									131	0	131	260	69	8	350	350					-7.5	0.0	-7.3	-7.5					0.0	0.0	0.0	0.0
12/25/2008 00:50:00	7.9	0.8	9.5	6.1	1.0	0.0	1.0	1.0	8.5	1.0	10.3	6.1	8.1	0.9	10.3	6.1									131	0	131	260	65	8	350	350					-7.6	0.0	-7.3	-7.7					0.0	0.0	0.0	0.0
12/25/2008 01:00:00	8.7	0.7	10.3	6.5	1.0	0.0	1.0	1.0	9.6	1.0	12.2	6.8	8.9	1.0	11.5	5.3									130	0	131	260	61	6	350	350					-7.6	0.0	-7.5	-7.7					0.0	0.0	0.0	0.0
12/25/2008 01:10:00	8.1	1.0	10.3	5.3	1.0	0.0	1.0	1.0	9.1	1.1	12.2	5.3	8.6	1.1	11.5	5.3									130	0	131	260	60	7	350	350					-7.7	0.0	-7.5	-7.7					0.0	0.0	0.0	0.0
12/25/2008 01:20:00	8.2	0.9	10.7	5.7	1.0	0.0	1.0	1.0	9.3	1.0	12.2	6.1	8.9	1.0	11.8	6.5									130	0	131	260	57	6	350	350					-7.7	0.0	-7.5	-7.7					0.0	0.0	0.0	0.0
12/25/2008 01:30:00	8.1	1.0	10.7	6.1	1.0	0.0	1.0	1.0	9.0	1.2	12.2	6.1	8.7	1.1	11.8	6.1									130	0	131	260	56	6	350	350					-7.7	0.0	-7.7	-7.7					0.0	0.0	0.0	0.0
12/25/2008 01:40:00	8.0	0.9	9.9	5.7	1.0	0.0	1.0	1.0	9.0	1.0	11.5	6.1	8.4	1.0	11.1	5.7									130	0	131	260	55	6	350	350					-7.8	0.0	-7.7	-7.9					0.0	0.0	0.0	0.0
12/25/2008 01:50:00	8.0	0.8	10.3	5.7	1.0	0.0	1.0	1.0	9.1	1.0	11.8	5.7	8.6	1.1	11.5	5.7									130	0	131	260	57	7	350	350					-7.9	0.0	-7.7	-7.9					0.0	0.0	0.0	0.0
12/25/2008 02:00:00	8.0	0.8	9.9	6.1	1.0	0.0	1.0	1.0	9.1	0.9	11.5	6.1	8.6	0.9	11.1	6.1									130	0	131	260	55	7	350	350					-7.9	0.0	-7.7	-7.9					0.0	0.0	0.0	0.0
